name,kebab_name,espn_id
AJ Dybantsa,aj-dybantsa,5142718
Darryn Peterson,darryn-peterson,5041955
Cameron Boozer,cameron-boozer,5041935
Caleb Wilson,caleb-wilson,5095151
Keaton Wagler,keaton-wagler,5254165
Darius Acuff Jr.,darius-acuff-jr,5142620
Kingston Flemings,kingston-flemings,5149077
Nate Ament,nate-ament,5164559
Mikel Brown Jr.,mikel-brown-jr,5101761
Brayden Burries,brayden-burries,5082206
Yaxel Lendeborg,yaxel-lendeborg,5175737
Thomas Haugh,thomas-haugh,5080489
Aday Mara,aday-mara,5174983
Hannes Steinbach,hannes-steinbach,5281370
Labaron Philon,labaron-philon,4873090
Chris Cenac Jr.,chris-cenac-jr,5142621
Braylon Mullins,braylon-mullins,5196916
Christian Anderson,christian-anderson,5060701
Jayden Quaintance,jayden-quaintance,5101845
Isaiah Evans,isaiah-evans,5061585
Koa Peat,koa-peat,5041953
Bennett Stirtz,bennett-stirtz,5241364
Cameron Carr,cameron-carr,5113969
Dailyn Swain,dailyn-swain,4848625
Morez Johnson Jr.,morez-johnson-jr,4873153
Motiejus Krivas,motiejus-krivas,5174954
Allen Graves,allen-graves,5149115
Meleek Thomas,meleek-thomas,5041951
Ebuka Okorie,ebuka-okorie,5258459
Henri Veesaar,henri-veesaar,5105571
Amari Allen,amari-allen,5101833
Tyler Tanner,tyler-tanner,5187600
Alex Condon,alex-condon,5174657
Joshua Jefferson,joshua-jefferson,4870564
Dame Sarr,dame-sarr,5287474
Alex Karaban,alex-karaban,4917149
Zuby Ejiofor,zuby-ejiofor,5106262
Patrick Ngongba II,patrick-ngongba-ii,4873209
Tounde Yessoufou,tounde-yessoufou,5095152
Juke Harris,juke-harris,5142609
Tarris Reed Jr.,tarris-reed-jr,5105809
Milan Momcilovic,milan-momcilovic,4848637
Ryan Conwell,ryan-conwell,5107157
Flory Bidunga,flory-bidunga,5044426
Malachi Moreno,malachi-moreno,5101849
Braden Smith,braden-smith,5105854
Neoklis Avdalas,neoklis-avdalas,5311829
Rueben Chinyelu,rueben-chinyelu,5174971
Billy Richmond III,billy-richmond-iii,5060732
Alijah Arenas,alijah-arenas,5144495
Matt Able,matt-able,5196877
Ugonna Onyenso,ugonna-onyenso,5037878
Pryce Sandfort,pryce-sandfort,4858604
Baba Miller,baba-miller,5075626
Jaden Bradley,jaden-bradley,4432737
Trevon Brazile,trevon-brazile,4698719
Joseph Tugler,joseph-tugler,5060700
Andrej Stojakovic,andrej-stojakovic,5175007
Bruce Thornton,bruce-thornton,5105837
Richie Saunders,richie-saunders,5105462
Paul McNeil Jr.,paul-mcneil-jr,4873151
Felix Okpara,felix-okpara,5105841
Izaiyah Nelson,izaiyah-nelson,5107251
Jeremy Fears Jr.,jeremy-fears-jr,4711255
Kylan Boswell,kylan-boswell,4684269
Tyler Nickel,tyler-nickel,4838721
Ja'Kobi Gillespie,jakobi-gillespie,5107968
Emanuel Sharp,emanuel-sharp,5106058
