poll_date,source_author,league_format,side_a,side_a_votes,side_a_pct,side_b,side_b_votes,side_b_pct,total_votes,community_winner,note
2026-08-19,Mika972,Dynasty / H2H / 9-Cat / 14 Team / 350 men / Salary,Jay Huff,4,21,Round 2 2028 (#15-20),15,79,19,side_b,date inferred from screenshot's relative timestamp; unconfirmed
2026-08-19,electricgecko.,Dynasty / 8-Cat / 16 Team,Keegan Murray,17,77,Filipowski + 2027 1st (14th-16th),5,23,22,side_a,date inferred from screenshot's relative timestamp; unconfirmed
2026-08-19,Greyson,Roto / 8-Cat / 30 Team,Yaxel Lendenborg,17,65,Morez Johnson Jr.,9,35,26,side_a,date inferred from screenshot's relative timestamp; unconfirmed
2026-08-18,Bnets,Categories / Dynasty / 14th man,Cameron Boozer,14,45,Chet Holmgren + Mikel Brown Jr,17,55,31,side_b,
2026-08-17,Bnets,Categories / Dynasty,Nikola Jokic,26,90,Chet Holmgren + Embiid + Curry + Jabari Smith,3,10,29,side_a,poll titled "Is it fair deal for Jokic?"
2026-08-16,Vinsanity,9 Cat / 18 Team,Jokic + Lillard,12,39,Castle + Lamelo + Sarr + Buzelis,19,61,31,side_b,
2026-08-16,PickyFrog - Nico,9 Cat - 22 Team (real salary),Luka Doncic + Cedric Coward,34,100,Franz Wagner + Edey + Coby White + Powell,0,0,34,side_a,
2026-08-15,TimC,12 Team category,Deni + Clingan + 2027 (6-12),20,57,2026 1.02,15,43,35,side_a,
2026-08-14,Bnets,Categories / 12man / new offer,Nikola Jokic + Dylan Harper + Donovan Clingan + Khaman Maluach,26,87,Victor Wembanyama + Kawhi Leonard + Joel Embiid,4,13,30,side_a,
2026-08-14,Brayden,30 Team points,Jalen Williams + Onyeka Okongwu + Noah Clowney + Thomas Sorber,26,100,Paolo Banchero + Dayron Sharpe + Kevin Porter Jr. + Ryan Conwell,0,0,26,side_a,
2026-08-14,Greyson,8-Cat / 30 Team roto,Norman Powell + a mid 2028 first,5,13,Jaden McDaniels,34,87,39,side_b,
2026-08-14,Greyson,8-Cat / 30 Team roto,Jaden McDaniels + Immanuel Quickley,10,24,Franz Wagner,32,76,42,side_b,
2026-08-12,tookapaka,14 Team / Dynasty / Points,Darius Acuff Jr.,14,56,Anthony Black + Morez Johnson Jr.,11,44,25,side_a,"reaction-based poll (no native % shown), pct computed from the two reaction counts"
2026-08-12,Jesster,30 Team / Dynasty / 9-Cat / Salary,2027 1st (prob 5-20 range),17,74,Nate Ament,6,26,23,side_a,
2026-08-11,evizu,9-Cat / 24 Team,Kyshawn George,5,28,Dejounte Murray + 1.15,13,72,18,side_b,
