date,league,team_a,team_a_gets,team_a_total,team_b,team_b_gets,team_b_total,vote_a_pct,vote_a_count,vote_b_pct,vote_b_count,vote_fair_pct,vote_fair_count,total_votes
2026-07-26,Angle Dynasty League (Downtown Fantasy Sports #23),Charlotte Sting,"$100 FAAB",,Houston Comets,"Ariel Hukporti (C, $3400000)",3400000,0,0,33,1,67,2,3
2026-07-26,Angle Dynasty League (Downtown Fantasy Sports #23),Beijing Ducks,"2028 Rd 1; $10 FAAB",,Singapore Slingers,"Luke Kornet (F/C, $10450000); 2028 Rd 1",10450000,33,2,33,2,33,2,6
2026-07-26,Angle Dynasty League (Downtown Fantasy Sports #23),Brisbane Bullets,"Ryan Nembhard (PG, $2150917); Julius Randle (PF, $33333334); 2026 Pick 51; 2027 Rd 2",35484251,Beijing Ducks,"Nikola Jovic (PF, $16200000); Keegan Murray (PF, $24137936)",40337936,75,6,13,1,13,1,8
2026-07-26,Angle Dynasty League (Downtown Fantasy Sports #23),Brisbane Bullets,"Leonard Miller (PF/SF, $2406205); Sandro Mamukelashvili (C/PF, $13000000); 2026 Pick 46",15406205,PSV Red Lions,"Dereck Lively II (C, $7239131)",7239131,40,4,20,2,40,4,10
2026-07-27,Angle Dynasty League (Downtown Fantasy Sports #23),Providence Steamrollers,"Max Christie (SG, $8285714)",8285714,PSV Red Lions,"Noah Penda (SF/PF, $2150917); 2026 Pick 49; 2026 Pick 57",2150917,43,3,29,2,29,2,7
2026-07-27,Angle Dynasty League (Downtown Fantasy Sports #23),Charlotte Sting,"Jordan Walsh (SF, $2406205); Nikola Jokic (C, $59033114)",61439319,Beijing Ducks,"Luka Doncic (F/G, $49488300)",49488300,0,0,38,3,63,5,8
2026-07-28,Angle Dynasty League (Downtown Fantasy Sports #23),PSV Red Lions,"Blake Wesley (PG/SG, $0); 2026 Pick 17; 2026 Pick 39; $10 FAAB",0,Dubai Basketball,"Tristan Vukcevic (C/PF, $3000000); 2026 Pick 20; 2026 Pick 49",3000000,17,1,17,1,67,4,6
2026-07-28,Angle Dynasty League (Downtown Fantasy Sports #23),Brisbane Bullets,"Bradley Beal (SG/SF, $0)",0,Victoria Titans,"Marvin Bagley III (PF/C, $2449421); 2026 Pick 46; 2027 Rd 2",2449421,43,3,43,3,14,1,7
2026-07-29,Angle Dynasty League (Downtown Fantasy Sports #23),PSV Red Lions,"2026 Pick 29; $5 FAAB",,Magnolia Chicken Timplados Hotshots,"Jarace Walker (PF, $8478542)",8478542,50,4,38,3,13,1,8
2026-07-31,Angle Dynasty League (Downtown Fantasy Sports #23),Singapore Slingers,"Jock Landale (C, $14100000)",14100000,Victoria Titans,"Johnny Furphy (SF/SG, $2296271); 2026 Pick 56",2296271,40,2,20,1,40,2,5
