athlete_id,display_name,dob
9,Ray Allen,1975-07-20
10,Malik Allen,1978-06-27
25,Metta World Peace,1979-11-13
45,Tony Battie,1976-02-11
49,Raja Bell,1976-09-19
61,Mike Bibby,1978-05-13
63,Chauncey Billups,1976-09-25
87,Earl Boykins,1976-06-02
91,Elton Brand,1979-03-11
110,Kobe Bryant,1978-08-23
125,Marcus Camby,1974-03-22
130,Brian Cardinal,1977-05-02
136,Vince Carter,1977-01-26
137,Anthony Carter,1975-06-16
165,Jamal Crawford,1980-03-20
181,Erick Dampier,1975-07-14
183,Antonio Daniels,1975-03-19
194,Baron Davis,1979-04-13
209,Keyon Dooling,1980-05-08
215,Tim Duncan,1976-04-25
234,Francisco Elson,1976-02-28
246,Derek Fisher,1974-08-09
250,Jeff Foster,1977-01-16
261,Kevin Garnett,1976-05-19
272,Manu Ginobili,1977-07-28
294,Richard Hamilton,1978-02-14
308,Al Harrington,1980-02-17
336,Grant Hill,1972-10-05
348,Eddie House,1978-05-14
351,Juwan Howard,1973-02-07
356,Larry Hughes,1979-01-23
362,Zydrunas Ilgauskas,1975-06-05
378,Stephen Jackson,1978-04-05
385,Antawn Jamison,1976-06-12
429,Jason Kidd,1973-03-23
434,Andrei Kirilenko,1981-02-18
469,Rashard Lewis,1979-08-08
497,Corey Maggette,1979-11-12
498,Jamaal Magloire,1978-05-21
510,Shawn Marion,1978-05-07
511,Sean Marks,1975-08-23
515,Kenyon Martin,1977-12-30
530,Antonio McDyess,1974-09-07
532,Tracy McGrady,1979-05-24
556,Brad Miller,1976-04-12
557,Andre Miller,1976-03-19
558,Mike Miller,1980-02-19
568,Nazr Mohammed,1977-09-05
575,Mikki Moore,1975-11-04
591,Eduardo Najera,1976-07-11
592,Steve Nash,1974-02-07
609,Dirk Nowitzki,1978-06-19
614,Shaquille O'Neal,1972-03-06
615,Jermaine O'Neal,1978-10-13
617,Lamar Odom,1979-11-06
635,Anthony Parker,1975-06-19
656,Morris Peterson,1977-08-26
662,Paul Pierce,1977-10-13
671,James Posey,1977-01-13
682,Joel Przybilla,1979-10-10
687,Theo Ratliff,1973-04-17
692,Michael Redd,1979-08-24
703,Quentin Richardson,1980-04-13
779,Brian Skinner,1976-05-19
788,Joe Smith,1975-07-26
802,Jerry Stackhouse,1974-11-05
808,DeShawn Stevenson,1981-04-03
813,Peja Stojakovic,1977-06-09
841,Jason Terry,1977-09-15
846,Kurt Thomas,1972-10-04
851,Etan Thomas,1978-04-01
862,Hedo Turkoglu,1979-03-19
866,Ime Udoka,1977-08-09
883,Rasheed Wallace,1974-09-17
885,Ben Wallace,1974-09-10
933,Jason Williams,1975-11-18
974,Gilbert Arenas,1982-01-06
976,Shane Battier,1978-09-09
981,Kwame Brown,1982-03-10
984,Tyson Chandler,1982-10-02
987,Jason Collins,1978-12-02
988,Jarron Collins,1978-12-02
990,Eddy Curry,1982-12-05
991,Samuel Dalembert,1981-05-10
992,DeSagana Diop,1982-01-30
996,Pau Gasol,1980-07-06
1000,Brendan Haywood,1979-11-27
1006,Richard Jefferson,1980-06-21
1007,Joe Johnson,1981-06-29
1013,Troy Murphy,1980-05-02
1014,Mehmet Okur,1979-05-26
1015,Tony Parker,1982-05-17
