name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
John Wall,john wall,2010,1.0,2011,0,69,37.710144927536234,16.391304347826086,4.594202898550725,8.318840579710145,1.7536231884057971,0.5072463768115942,3.782608695652174,0.4927536231884058,5.768115942028985,14.08695652173913,4.36231884057971,5.695652173913044
Kyrie Irving,kyrie irving,2011,1.0,2012,0,51,30.607843137254903,18.50980392156863,3.7450980392156863,5.392156862745098,1.0588235294117647,0.39215686274509803,3.1372549019607843,1.4313725490196079,6.862745098039215,14.647058823529411,3.3529411764705883,3.843137254901961
Anthony Davis,anthony davis,2012,1.0,2013,0,63,28.984126984126984,13.476190476190476,8.238095238095237,1.0,1.1587301587301588,1.7777777777777777,1.4126984126984128,0.0,5.428571428571429,10.53968253968254,2.619047619047619,3.507936507936508
Anthony Bennett,anthony bennett,2013,1.0,2014,0,52,12.807692307692308,4.173076923076923,2.980769230769231,0.3269230769230769,0.40384615384615385,0.15384615384615385,0.9038461538461539,0.25,1.5384615384615385,4.326923076923077,0.8461538461538461,1.3269230769230769
Andrew Wiggins,andrew wiggins,2014,1.0,2015,0,82,36.23170731707317,16.914634146341463,4.560975609756097,2.073170731707317,1.048780487804878,0.6097560975609756,2.158536585365854,0.47560975609756095,6.060975609756097,13.865853658536585,4.317073170731708,5.682926829268292
Karl-Anthony Towns,karl-anthony towns,2015,1.0,2016,0,82,31.963414634146343,18.329268292682926,10.451219512195122,1.9634146341463414,0.7073170731707317,1.6829268292682926,2.231707317073171,0.36585365853658536,7.621951219512195,14.060975609756097,2.7195121951219514,3.3536585365853657
Ben Simmons,ben simmons,2016,1.0,2018,1,81,33.77777777777778,15.790123456790123,8.135802469135802,8.160493827160494,1.728395061728395,0.8641975308641975,3.432098765432099,0.0,6.716049382716049,12.320987654320987,2.3580246913580245,4.209876543209877
Markelle Fultz,markelle fultz,2017,1.0,2018,0,14,18.0,7.142857142857143,3.0714285714285716,3.7857142857142856,0.8571428571428571,0.2857142857142857,1.2142857142857142,0.0,3.2142857142857144,7.928571428571429,0.7142857142857143,1.5
Deandre Ayton,deandre ayton,2018,1.0,2019,0,71,30.732394366197184,16.323943661971832,10.267605633802816,1.7605633802816902,0.8591549295774648,0.9436619718309859,1.7746478873239437,0.0,7.169014084507042,12.253521126760564,1.9859154929577465,2.6619718309859155
Zion Williamson,zion williamson,2019,1.0,2020,0,24,27.791666666666668,22.5,6.25,2.0833333333333335,0.6666666666666666,0.375,2.4583333333333335,0.25,8.75,15.0,4.75,7.416666666666667
Anthony Edwards,anthony edwards,2020,1.0,2021,0,70,31.957142857142856,19.257142857142856,4.6,2.9,1.1285714285714286,0.5,2.1714285714285713,2.3857142857142857,7.014285714285714,16.8,2.842857142857143,3.6857142857142855
