"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Score","%D","ADP","FG%","3PTM","FT%","PTS","REB","AST","ST","BLK","TO"
"*06cch*","Victor Wembanyama","SA","C","5","NOP","22","","16,868,246","97.12","100","1.5",".512","1.9",".827","25.0","11.5","3.1","1.0","3.1","2.4"
"*03e75*","Nikola Jokic","DEN","C","6","DEN","31","","59,033,114","97","100","1.6",".569","1.7",".831","27.7","12.9","10.7","1.4","0.8","3.7"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG","10","HBB","28","","40,806,150","94.63","100","3.4",".553","1.7",".879","31.1","4.3","6.6","1.4","0.8","2.2"
"*04kj6*","Luka Doncic","LAL","PG,SG","3","DAL","27","","49,488,300","98.62","100","3.7",".476","4.0",".780","33.5","7.7","8.3","1.6","0.5","4.0"
"*05uib*","Cade Cunningham","DET","PG,SG","14","Pistons","24","","50,105,628","93.22","100","5.6",".461","2.0",".812","23.9","5.5","9.9","1.4","0.8","3.7"
"*05qsq*","Tyrese Maxey","PHI","PG,SG","1","HOT","25","","40,770,520","100","100","6.9",".462","3.1",".892","28.3","4.1","6.6","1.9","0.8","2.4"
"*03xmv*","Jayson Tatum","BOS","SF,PF","312","BOS","28","","58,456,566","47.85","100","8.7",".411","2.9",".823","21.8","10.0","5.3","1.4","0.2","2.4"
"*05qug*","Anthony Edwards","MIN","SG,SF","20","ManuWolf","25","","48,924,624","92.06","100","9.4",".489","3.4",".796","28.8","5.0","3.7","1.4","0.8","2.9"
"*05uiu*","Jalen Johnson","ATL","SF,PF","18","ATL","24","","30,000,000","92.24","100","9.7",".489","1.7",".788","22.5","10.3","7.9","1.2","0.4","3.4"
"*031m2*","Giannis Antetokounmpo","MIA","PF,C","146","POR","31","","58,456,566","70.64","100","10.1",".624","0.4",".650","27.6","9.8","5.4","0.9","0.7","3.2"
"*05qtv*","Tyrese Haliburton","IND","PG,SG","1034","IND","26","","48,924,624","0","100","11","0","0","0","0","0","0","0","0","0"
"*05uie*","Scottie Barnes","TOR","SF,PF,C","4","BCR","25","","41,754,690","97.78","100","11.1",".507","0.8",".815","18.1","7.5","5.9","1.4","1.4","2.6"
"*06v5l*","Cooper Flagg","DAL","PG,SG,SF","24","69ers","19","","14,517,480","91.15","100","12.7",".468","1.0",".827","21.0","6.7","4.5","1.2","0.9","2.3"
"*04ewe*","Donovan Mitchell","CLE","PG,SG","16","CLPS","29","","50,105,628","92.6","100","14",".483","3.2",".865","27.9","4.5","5.7","1.5","0.3","2.8"
