name,dynasty_pick,pos,school,card_built,data_flag,star_pts,star_reb,star_ast,star_stl,star_blk,star_fg,star_ft,star_3pm,star_to,gp,ppg,rpg,apg,spg,bpg,topg,fg_pct,ft_pct,tpm_pg,three_pct,age,mpg,height_in,sos,team_strength,international,rec_rank,dynasty_verdict
Cameron Boozer,1.01,F/C,DUKE,YES,,5,5,4,4,3,5,3,4,3,38,22.5,10.2,4.1,1.39,0.61,2.5,55.6,78.9,1.4,39.1,18.5,33.5,81,8.3,22.6,0,99.6,"Safest dynasty pick in the 2026 class. Elite PTS, REB and FG% — three category anchors. An elite interior scorer and shooter whose strength and rebounding are the foundation of the profile. The youngest prospect in the draft with unbelievable dominance and feel. In category leagues, this profile wins championships."
Darryn Peterson,1.02,G/W,KAN,YES,,5,3,2,5,3,2,4,5,2,24,20.2,4.2,1.6,1.42,0.62,1.6,43.8,82.6,2.6,38.2,19.1,29.0,77,9.8,13.3,0,99.8,"Elite PTS on high volume, elite 3PM and elite STL — three category pillars that combine scoring, shooting and defensive impact. One of the best perimeter defensive profiles in the class. High-volume below-average FG% is the one drag that needs to improve. Dynasty risk goes beyond availability — the shot diet is the NBA translation question."
AJ Dybantsa,1.03,F/C,BYU,YES,,5,4,3,3,2,4,3,2,1,35,25.5,6.8,3.7,1.06,0.34,3.1,51.0,77.4,1.4,33.1,19.0,34.8,81,7.9,13.0,0,100.0,Led the nation in scoring as a freshman. First freshman since Trae Young in 2018 to lead the country in PPG. Elite PTS on high volume — a primary advantage creator whose scoring juice is the real thing. Draws fouls at high volume. Dynasty runway is enormous at 19.
Caleb Wilson,1.04,F/C,UNC,YES,,4,5,3,5,4,5,2,1,3,24,19.8,9.4,2.7,1.5,1.38,2.0,57.8,71.3,0.3,25.9,19.5,31.3,82,5.7,12.0,0,99.2,"Elite REB, elite STL and elite FG% on volume — three category anchors. One of the best defenders in the class, with the feel and instincts already NBA-ready. Draws fouls at the highest rate in the class — the scoring will come. Season ended early with a broken thumb — cleared for the predraft process."
Kingston Flemings,1.05,G,HOU,YES,,3,1,5,5,2,3,4,4,4,37,16.1,4.1,5.2,1.51,0.32,1.8,47.6,84.5,1.1,38.7,19.1,31.7,76,7.8,19.5,0,96.8,One of my guys. The most elite playmaking guard in the 2026 class. Elite AST and elite STL — two-way impact built into the profile. A 2.91 AST/TO ratio puts him among the most efficient playmakers in the draft. The defensive potential on top of this makes him genuinely special.
Keaton Wagler,1.06,G,ILL,YES,,3,3,4,2,2,2,4,5,4,37,17.9,5.1,4.2,0.92,0.38,1.8,44.5,79.6,2.4,39.7,19.3,33.9,78,8.2,18.8,0,52.6,Elite 3PM — the standout category anchor. An exceptional shooter and processor who thrives in movement. The dynasty case is built on shooting creation.
Aday Mara,1.07,C,MICH,YES,,3,4,3,1,5,5,1,1,3,40,12.1,6.8,2.4,0.35,2.58,2.0,66.8,56.4,0.1,30.0,20.8,23.4,87,9.7,22.6,1,97.2,One of my guys. Elite BLK and elite FG% — two genuine category anchors. The most elite shot-blocker in the entire 2026 class by a distance. A true needle-mover at center — the interior presence and rim protection profile is rare at this age.
Mikel Brown Jr.,1.08,G,LOU,YES,,4,2,4,4,1,2,4,4,1,21,18.2,3.3,4.7,1.24,0.14,3.1,41.0,84.4,2.6,34.4,19.8,29.2,77,5.7,14.7,0,98.8,"A spectacular live-dribble passer and versatile creator with an improved burst and first step — dribble, pass, shoot at an elite level when healthy. Draws fouls at high volume. Lower back injury is the only reason he's not top 5. Predraft medicals are everything."
Ebuka Okorie,1.09,G,STAN,YES,,5,2,3,4,2,2,4,4,4,31,23.2,3.6,3.6,1.58,0.32,1.9,46.5,83.2,2.0,35.4,19.3,35.1,74,5.5,5.7,0,57.6,One of my guys. Elite PTS on high volume — gets to the basket more than any guard in the class. Absolutely electric with the best first step in the draft — pure scoring gravity that translates regardless of system. Draws fouls at high volume — the strongest indicator the scoring translates to NBA level.
Labaron Philon,1.10,G,ALA,YES,,5,2,4,3,1,3,3,5,3,33,22.0,3.5,5.0,1.15,0.18,2.5,50.1,79.8,2.5,39.9,20.2,30.9,76,9.9,14.4,0,93.2,Elite PTS on high volume and elite 3PM — one of the most underrated scoring profiles in the class. A shifty primary creator with elite rim pressure and trustworthy defensive upside — breaks down defences off the dribble as well as anyone in this class. The dynasty value is higher than the rank suggests.
