season,team,player,jersey,pos,height,weight,dob,age,yos,draft,nationality,birthplace,pre_draft,prior_team,contract,fa_year,salary_26_27
2026-27,ATL,Nickeil Alexander-Walker,7,G,6'5,205,09/02/98,27.84,7,2019-17,CAN,Canada - Toronto,Virginia Tech,Atlanta Hawks,4 yr / $60.6M,2029,14403710
2026-27,ATL,Devin Carter,,G,6'2,195,03/18/02,24.31,2,2024-13,USA,FL - Miami,Providence,Sacramento Kings,4 yr / $22.1M,2027 +1,5158080
2026-27,ATL,Dyson Daniels,5,G,6'7,200,03/17/03,23.30,4,2022-08,AUS,Australia - Bendigo,G League Ignite,Atlanta Hawks,4 yr / $100M,2030,25000000
2026-27,ATL,RayJ Dennis,00,G,6'1,180,03/30/01,25.27,2,2024-ND,USA,IL - Plainfield,Baylor,Atlanta Hawks,Two-Way,,
2026-27,ATL,Zuby Ejiofor,20,F,6'7,245,04/20/04,22.21,R,2026-23,USA,TX - Dallas,St. John's,St. John's,4 yr / $17.3M,2028 +2,3454200
2026-27,ATL,Kingston Flemings,4,G,6'2,185,01/03/07,19.50,R,2026-08,USA,VA - Newport News,Houston,Houston,4 yr / $33.4M,2028 +2,7350360
2026-27,ATL,Keshon Gilbert,51,G,6'4,200,06/30/03,23.01,1,2025-ND,USA,MO - St. Louis,Iowa State,Atlanta Hawks,Two-Way,,
2026-27,ATL,Mouhamed Gueye,18,F,6'11,210,11/09/02,23.65,3,2023-39,SEN,Senegal - Dakar,Washington State,Atlanta Hawks,4 yr / $7.6M,2027,2406205
2026-27,ATL,Buddy Hield,8,G,6'4,220,12/12/92,33.57,10,2016-06,BAH,Bahamas - Freeport,Oklahoma,Atlanta Hawks,4 yr / $37.8M,2027 +1,9658536
2026-27,ATL,Jalen Johnson,1,F,6'8,220,12/18/01,24.55,5,2021-20,USA,WI - Wausau,Duke,Atlanta Hawks,5 yr / $150M,2030,30000000
2026-27,ATL,Corey Kispert,24,F,6'6,225,03/03/99,27.34,5,2021-15,USA,WA - Edmonds,Gonzaga,Atlanta Hawks,4 yr / $54M,2029,13975000
2026-27,ATL,Christian Koloko,35,C,6'11,225,06/20/00,26.04,3,2022-33,CMR,Cameroon - Douala,Arizona,Atlanta Hawks,RFA,,
2026-27,ATL,Jock Landale,31,C,6'11,255,10/25/95,30.71,5,2018-ND,AUS,Australia - Melbourne,Saint Mary's,Atlanta Hawks,1 yr / $14M,2027,14000000
2026-27,ATL,CJ McCollum,3,G,6'3,190,09/19/91,34.80,13,2013-10,USA,OH - Canton,Lehigh,Atlanta Hawks,1 yr / $21M,2027,21000000
2026-27,ATL,Isaac McKneely,,G,6'4,205,11/10/02,22.65,R,2026-ND,USA,WV - Poca,Louisville,Louisville,Exhibit 10,,
2026-27,ATL,Asa Newell,14,F,6'10,220,10/05/05,20.75,1,2025-23,USA,GA - Atlanta,Georgia,Atlanta Hawks,4 yr / $16.2M,2027 +2,3399480
2026-27,ATL,Onyeka Okongwu,17,C,6'10,240,12/11/00,25.56,6,2020-06,USA,CA - Los Angeles,USC,Atlanta Hawks,4 yr / $62M,2028,16100000
2026-27,ATL,Zaccharie Risacher,10,F,6'8,200,04/08/05,21.24,2,2024-01,FRA,Spain - Malaga,Bourg (France),Atlanta Hawks,4 yr / $57M,2027 +1,13826040
2026-27,ATL,Henri Veesaar,13,C,6'11,225,03/28/04,22.27,R,2026-52,EST,Estonia - Tallinn,North Carolina,North Carolina,4 yr / $9.3M,2029 +1,1357763
2026-27,ATL,Keaton Wallace,2,G,6'3,185,02/26/99,27.36,2,2021-ND,USA,TX - Richardson,Texas-San Antonio,Atlanta Hawks,RFA,,
2026-27,ATL,Aaron Wiggins,,G,6'5,190,01/02/99,27.51,5,2021-55,USA,NC - Greensboro,Maryland,Oklahoma City Thunder,5 yr / $45M,2028 +1,9224300
2026-27,BOS,Dalano Banton,45,G,6'8,205,11/07/99,26.66,5,2021-46,CAN,Canada - Toronto,Nebraska,Boston Celtics,2 yr / $2.8M,2027,2801346
2026-27,BOS,Chris Cenac Jr.,12,F,6'10,240,02/01/07,19.42,R,2026-27,USA,LA - New Orleans,Houston,Houston,4 yr / $15.4M,2028 +2,2988840
2026-27,BOS,Mike Conley Jr.,,G,6'1,175,10/11/87,38.75,19,2007-04,USA,AR - Fayetteville,Ohio State,Minnesota Timberwolves,1 yr / $3.9M,2027,3876529
2026-27,BOS,Tucker DeVries,,F,6'7,215,12/07/02,23.58,R,2026-ND,USA,IA - Waukee,Indiana,Indiana,Exhibit 10,,
2026-27,BOS,Luka Garza,52,C,6'10,245,12/27/98,27.52,5,2021-52,"USA, BIH",DC - Washington,Iowa,Boston Celtics,2 yr / $5.2M,2027,2801346
