team,player,tier,injury,override_games,override_mpg
ATL,Aaron Wiggins,rotation,none,70.0,17.0
ATL,Asa Newell,rotation,none,55.0,11.0
ATL,Buddy Hield,cut,none,,
ATL,CJ McCollum,starter,none,68.0,29.0
ATL,Corey Kispert,reserve,none,55.0,12.0
ATL,Devin Carter,reserve,none,30.0,10.0
ATL,Dyson Daniels,starter,none,70.0,32.0
ATL,Henri Veesaar,reserve,none,15.0,5.0
ATL,Isaac McKneely,cut,none,,
ATL,Jalen Johnson,starter,none,70.0,34.0
ATL,Jalen Wilson,fringe,none,,0.1
ATL,Jock Landale,rotation,none,58.0,16.0
ATL,Keaton Wallace,fringe,none,,0.0
ATL,Keshon Gilbert,fringe,none,,0.0
ATL,Kingston Flemings,rotation,none,72.0,20.0
ATL,Luguentz Dort,rotation,none,,24.0
ATL,Mouhamed Gueye,reserve,short_term,,15.0
ATL,Nickeil Alexander-Walker,starter,none,70.0,33.0
ATL,Onyeka Okongwu,starter,none,,30.0
ATL,RayJ Dennis,fringe,none,,0.0
ATL,Ryan Nembhard,rotation,none,55.0,12.0
ATL,Zuby Ejiofor,reserve,none,45.0,16.0
BKN,Ben Humrichous,cut,none,,
BKN,Ben Saraf,reserve,none,,9.3
BKN,Chaney Johnson,fringe,none,,4.8
BKN,Danny Wolf,rotation,none,,14.0
BKN,Day'Ron Sharpe,starter,none,64.0,27.0
BKN,Dion Brown,cut,none,,
BKN,Drake Powell,reserve,none,,9.3
BKN,Egor Demin,starter,none,75.0,30.0
BKN,Josh Minott,rotation,none,,16.0
BKN,Joshua Jefferson,reserve,none,,8.7
BKN,Julius Randle,starter,none,73.0,33.0
BKN,Keon Ellis,rotation,none,70.0,20.0
BKN,Michael Porter Jr.,starter,none,62.0,32.0
BKN,Mikel Brown Jr.,starter,none,72.0,27.0
BKN,Moritz Wagner,rotation,none,,13.0
BKN,Noah Clowney,rotation,none,69.0,26.0
BKN,Nolan Traore,rotation,none,70.0,22.0
BKN,Terance Mann,rotation,none,65.0,18.0
BKN,Tyler Bilodeau,fringe,none,,4.1
BOS,Amari Williams,fringe,none,,4.1
BOS,Baylor Scheierman,rotation,none,72.0,20.0
BOS,Chris Cenac Jr.,reserve,none,,9.2
BOS,Derrick White,starter,none,73.0,33.0
BOS,Dillon Mitchell,reserve,none,,9.2
BOS,Hugo Gonzalez,rotation,none,74.0,20.0
BOS,Jayson Tatum,starter,none,68.0,33.0
BOS,Jordan Walsh,rotation,none,70.0,15.0
BOS,Luka Garza,reserve,none,,8.1
BOS,Mike Conley Jr.,reserve,none,,10.2
BOS,Milos Uzan,cut,none,,
BOS,Mitchell Robinson,rotation,none,50.0,19.0
BOS,Neemias Queta,starter,none,73.0,25.0
BOS,Paul George,starter,none,68.0,32.0
BOS,Payton Pritchard,starter,none,77.0,32.0
BOS,Ron Harper Jr.,reserve,none,,9.4
BOS,Sam Hauser,rotation,none,73.0,24.0
BOS,Tucker DeVries,cut,none,,
CHA,Brandon Miller,starter,none,74.0,32.0
CHA,Christian Anderson,reserve,none,52.0,12.0
CHA,Coby White,starter,none,70.0,32.0
CHA,Dorian Finney-Smith,rotation,none,42.0,11.0
CHA,Grant Williams,reserve,none,45.0,15.0
CHA,Grayson Allen,rotation,none,55.0,23.0
CHA,Hannes Steinbach,rotation,none,65.0,20.0
CHA,Kon Knueppel,starter,none,78.0,32.0
CHA,Kylan Boswell,fringe,none,,2.0
CHA,Latrell Wrightsell Jr.,cut,none,,
CHA,Liam McNeeley,rotation,none,58.0,15.0
CHA,Michael Ajayi,fringe,none,,7.0
CHA,Mouhamadou Gueye,fringe,none,,0.0
CHA,Moussa Diabate,starter,none,73.0,27.0
CHA,Naz Reid,starter,none,70.0,30.0
CHA,PJ Hall,fringe,none,,7.0
CHA,Pat Connaughton,cut,none,,
CHA,Royce O'Neale,rotation,none,65.0,24.0
CHA,Ryan Kalkbrenner,rotation,none,50.0,15.0
CHA,Sion James,reserve,none,30.0,10.0
CHA,Tidjane Salaun,reserve,none,45.0,9.0
CHA,Tre Mann,fringe,none,,10.0
CHA,Wyatt Fricks,cut,none,,
CHI,Caleb Wilson,starter,none,70.0,30.0
CHI,Dailyn Swain,rotation,none,55.0,16.0
CHI,Donovan Atwell,cut,none,,
CHI,Houston Mallette,cut,none,,
CHI,Isaac Okoro,rotation,none,62.0,25.0
CHI,Jalen Smith,rotation,none,56.0,20.0
CHI,Jaylin Sellers,fringe,none,,7.0
CHI,Josh Giddey,starter,none,69.0,33.0
CHI,Leonard Miller,reserve,none,,14.0
CHI,Mac McClung,cut,none,,
CHI,Matas Buzelis,starter,none,74.0,31.0
CHI,Nic Claxton,starter,none,68.0,29.0
CHI,Noa Essengue,fringe,none,23.0,13.0
CHI,Norman Powell,starter,none,68.0,33.0
CHI,Patrick Williams,reserve,none,55.0,18.0
CHI,Rob Dillingham,reserve,none,50.0,17.0
CHI,Tobe Awaka,fringe,none,,7.0
CHI,Tre Jones,rotation,none,68.0,27.0
CHI,Zach Collins,rotation,none,40.0,19.0
CLE,Craig Porter Jr.,reserve,none,65.0,12.0
CLE,Dennis Schroder,rotation,none,62.0,22.0
CLE,Donovan Mitchell,starter,none,70.0,34.0
CLE,Ernest Udeh Jr.,fringe,none,,8.0
CLE,Evan Mobley,starter,none,68.0,33.0
CLE,James Harden,starter,none,70.0,33.0
CLE,Jarrett Allen,starter,none,,29.0
CLE,Jaylon Tyson,rotation,none,75.0,25.0
CLE,Mario Hezonja,fringe,none,,
CLE,Max Strus,starter,none,64.0,28.0
CLE,Meleek Thomas,reserve,none,,15.0
CLE,Nae'Qwan Tomlin,rotation,none,59.0,19.0
CLE,Olivier Sarr,cut,none,,
CLE,Rashaun Agee,cut,none,,
CLE,Riley Minix,fringe,none,,7.0
CLE,Sam Merrill,rotation,none,63.0,26.0
CLE,Thomas Bryant,reserve,none,55.0,14.0
CLE,Tristan Enaruna,fringe,none,,6.0
CLE,Tyrese Proctor,reserve,none,,12.0
CLE,Xaivian Lee,cut,none,,
DAL,Caleb Martin,reserve,none,40.0,11.0
DAL,Cooper Flagg,starter,none,74.0,34.0
DAL,Daniel Gafford,rotation,none,45.0,20.0
DAL,Dereck Lively,starter,long_term,,22.0
DAL,Jett Howard,fringe,none,16.0,5.0
DAL,John Poulakidas,fringe,none,12.0,5.0
DAL,Klay Thompson,rotation,none,44.0,20.0
DAL,Kyrie Irving,starter,none,58.0,33.0
DAL,Marcus Sasser,reserve,none,,14.0
DAL,Max Christie,starter,none,75.0,29.5
DAL,Morez Johnson Jr.,rotation,none,58.0,21.0
DAL,Moussa Cisse,reserve,none,28.0,11.0
DAL,Naji Marshall,rotation,none,73.0,27.0
DAL,PJ Washington,starter,none,72.0,30.0
DAL,Santi Aldama,rotation,none,61.0,27.0
DAL,Sergio de Larrea,reserve,none,,17.0
DAL,Tarik Biberovic,reserve,none,30.0,10.0
DAL,Tobi Lawal,fringe,none,8.0,5.0
DAL,Vsevolod Ishchenko,fringe,none,15.0,0.0
DAL,Zaccharie Risacher,rotation,none,,20.0
DEN,Aaron Gordon,starter,short_term,55.0,28.0
DEN,Aaron Nkrumah,fringe,none,,0.0
DEN,Alpha Diallo,reserve,none,29.0,14.0
DEN,Bryce Hopkins,reserve,none,48.0,12.0
DEN,Cam Johnson,starter,none,68.0,29.0
DEN,Christian Braun,starter,none,75.0,32.0
DEN,Curtis Jones,cut,none,,0.0
DEN,DaRon Holmes II,reserve,none,,8.0
DEN,David Roddy,fringe,none,,0.0
DEN,Giovanni Emejuru,cut,none,,
DEN,Jamal Murray,starter,none,75.0,35.0
DEN,Jonas Valanciunas,cut,none,0.0,
