team,category,note
ATL,playoff_bubble,
BKN,bottom3_risk,
BOS,contending,
CHA,playoff_bubble,"hunch (Ash, 2026-07-18): clear of bottom-3, no real playoff path -- rest-star zone"
CHI,bottom3_risk,
CLE,contending,
DAL,safe_middle,"hunch (Ash, 2026-07-18): clear of bottom-3, no real playoff path -- rest-star zone"
DEN,contending,
DET,contending,
GSW,contending,
HOU,contending,
IND,contending,
LAC,playoff_bubble,
LAL,contending,
MEM,safe_middle,
MIA,contending,
MIL,bottom3_risk,
MIN,contending,
NOR,safe_middle,
NYK,contending,
OKC,contending,
ORL,contending,
PHI,playoff_bubble,
PHO,playoff_bubble,
POR,playoff_bubble,
SAC,bottom3_risk,
SAS,contending,
TOR,playoff_bubble,
UTA,playoff_bubble,
WAS,safe_middle,
