fantrax_id,name,norm_name,team,position,rotowire_id,sportradar_id,statsinc_id
042o5,A.J. Hammons,aj hammons,,C,3928,,5677
05uwa,A.J. Lawson,aj lawson,,SG,5398,6bc71e02-9a03-40db-aed4-332ab5193336,
0664x,A.J. Reeves,aj reeves,,G,5646,643b1f04-755c-4041-8259-45340a056b43,
05uw9,Aamir Simms,aamir simms,,PF,5439,3574b554-210a-4382-ada9-220ad42586ff,
03jvr,Aaron Craft,aaron craft,,PG,3639,,5384
06q8b,Aaron Estrada,aaron estrada,,PG,6353,bec61524-2369-4e23-be7a-44076f1ba57a,
03al0,Aaron Gordon,aaron gordon,DEN,PF,3577,20f85838-0bd5-4c1f-ab85-a308bafaf5bc,5295
03rzs,Aaron Harrison,aaron harrison,,PG,3620,,5523
05uuf,Aaron Henry,aaron henry,,SF,5362,0b295571-ce3f-4436-aea7-b84e9cf7203a,
04qs0,Aaron Holiday,aaron holiday,,PG,4380,877eb456-2827-475f-b858-2bc00480e24f,6034
05qt4,Aaron Nesmith,aaron nesmith,IND,SF,5120,90d63a71-e4fe-411c-9773-2e74b5e1cb3b,
05ujt,Aaron Wiggins,aaron wiggins,ATL,SG,5412,d3b28775-473d-471a-8452-e913f4347f0f,
042oh,Abdel Nader,abdel nader,,SF,3972,d21c7f7b-c1aa-4b52-9371-a399cfcabfdd,5689
0393q,Abdul Gaddy,abdul gaddy,,SG,3563,b9576fd7-426c-49bd-a501-9a9c48f2fa7e,5283
06v57,Ace Bailey,ace bailey,UTA,SF,6551,c5fca05e-7292-464b-b9cd-d5d0f5e2fd07,
06hrn,Adam Flagler,adam flagler,SAC,SG,5984,6a45cd75-c6ef-42ac-9a67-dd0fdb21ade7,
0524i,Adam Mokoka,adam mokoka,,SG,4748,51ee792b-20c1-4ce5-b123-53fa05cb943e,6252
074bu,Adama Bal,adama bal,,SG,6782,24a43040-21a3-49da-aa0c-6e781f992f38,
06cek,Adama Sanogo,adama sanogo,,C,5980,73e347c9-dab6-45b2-8774-82d5bdb6f940,
076su,Aday Mara,aday mara,OKC,C,6932,2383dbc5-73a7-44fb-88ec-ae28c869cfa2,
05qz5,Ade Murkey,ade murkey,,SG,5308,b3809240-3430-485e-822a-c59be7b2c63c,
06mln,Adem Bona,adem bona,PHI,C,6287,d325bed1-c812-4bf4-b2a1-3cb32fcb86fa,
051pm,Admiral Schofield,admiral schofield,,PF,4854,ddebd1eb-4298-449d-850a-4dd5f84da05c,6230
065vb,Adonis Arms,adonis arms,,SF,5762,48e508e9-300e-431d-adf6-65128487fc4c,
0393m,Adonis Thomas,adonis thomas,,PF,3499,,5280
06v82,Adou Thiero,adou thiero,LAL,SF,6578,b69837ca-4e1d-4124-956d-00e3febe358e,
05qzv,Ahmad Caver,ahmad caver,,PG,5001,bf273fcb-28c6-4f9f-a52e-2642188426a9,
059fv,Ahmed Hill,ahmed hill,,SG,4857,,6309
076ta,AJ Dybantsa,aj dybantsa,WAS,SF,6925,836a6587-f951-4676-8fe5-b4b0fdd04b7d,
06234,AJ Green,aj green,MIL,SG,5750,616c60bf-f7ce-482d-a9c8-10c6c7fbef97,
0621f,AJ Griffin,aj griffin,,SF,5701,dff43943-07d4-44b8-b349-b5a0c327ce54,
06mkf,AJ Johnson,aj johnson,MEM,SG,6294,d8058632-b2ca-468c-9c27-56410aef4dff,
06mlk,Ajay Mitchell,ajay mitchell,OKC,SG,6289,1c8786b4-1786-4e3d-81ca-d976797413f5,
076uh,AK Okereke,ak okereke,LAL,F,7035,b7d17d78-bce5-4d8c-9a26-6a2b2590c7c3,
000zv,Al Horford,al horford,GSW,C,2816,cf3a87ec-c2f7-42e8-9698-6f8b2ba916a9,4245
01uyk,Al-Farouq Aminu,al-farouq aminu,,SF,3110,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,4723
03z95,Alan Williams,alan williams,,C,3777,,5598
04fkd,Alberto Abalde,alberto abalde,,SF,,,
03e7d,Alec Brown,alec brown,,C,3643,,5361
027ov,Alec Burks,alec burks,,SG,3192,73fcf334-2088-4862-b83b-66eae415cf87,4893
04exh,Alec Peters,alec peters,,PF,4145,,5867
05y7a,Aleem Ford,aleem ford,,SF,5566,0a491a19-1d8b-4ebd-8cff-694dfcd920b4,
04exk,Aleksandar Vezenkov,aleksandar vezenkov,,PF,4138,7160cefa-bef9-4733-8495-7e148c9e5bd9,5870
05qud,Aleksej Pokusevski,aleksej pokusevski,,PF,5250,132799e5-ab45-4b19-aff9-5dd73f85651c,
051pj,Alen Smailagic,alen smailagic,,PF,4637,c68be35a-1173-4d26-bdfb-495a3904fa46,6227
0728q,Alex Antetokounmpo,alex antetokounmpo,MIL,SF,5486,409f5c06-ac04-425a-8147-a4485e7b7e71,
0496e,Alex Caruso,alex caruso,OKC,SG,3952,8936c15e-f9d5-4b9a-80b9-8f6b7dcf7a17,5754
06mmj,Alex Ducas,alex ducas,,SG,6325,c126763c-11eb-4c66-8a7d-a962934632ca,
06fwl,Alex Fudge,alex fudge,,SF,5974,bc3d0653-efe8-4cca-ad54-3f88cd950447,
076t5,Alex Karaban,alex karaban,SAC,SF,6594,a9c11eae-164e-484d-b0d1-4cdd4347433c,
031ls,Alex Len,alex len,,C,3436,2facd6c5-10c6-4481-a20f-a885b3f84460,5156
06gsd,Alex Morales,alex morales,ORL,PG,5764,fd463d95-3421-4c52-ba77-16beb48f0f7e,
06669,Alex OConnell,alex oconnell,,G,5665,58b59093-a407-48bc-ba49-6ce5f07717b0,
047j6,Alex Poythress,alex poythress,,SF,3945,,5711
06pvu,Alex Reese,alex reese,,PF,6223,b73dfd2b-9545-40e0-a3d3-4ebece2f83a6,
06mju,Alex Sarr,alex sarr,WAS,C,6240,fe4c4f99-5dfb-4e32-b69a-da8c5a779c27,
06v8i,Alex Toohey,alex toohey,,PF,6555,8e2c38f7-494f-4dd1-af73-a17238f216fa,
04jwc,Alfonzo McKinnie,alfonzo mckinnie,,SF,4213,cba64aec-adb0-4ff4-a59f-fa3fd61418d7,5904
06v85,Alijah Martin,alijah martin,TOR,SG,6612,c17e25c7-1306-4301-8548-2fc129a62041,
04qsq,Alize Johnson,alize johnson,,PF,4461,247fda9b-09e6-4949-8fe3-acfcb9ed0983,6061
031mh,Allen Crabbe,allen crabbe,,SG,3453,,5201
06mnz,Allen Flanigan,allen flanigan,,PG,,bb134fc9-c8a1-47d1-b102-eae0a0076ce1,
076tb,Allen Graves,allen graves,TOR,PF,6975,31a15c44-f173-4b76-adb0-16e0593a151f,
03lgk,Allonzo Trier,allonzo trier,,SG,4381,,6140
0623h,Alondes Williams,alondes williams,,SG,5674,58c01127-e0de-487d-a2bc-bf88642619c0,
05uiq,Alperen Sengun,alperen sengun,HOU,C,5404,47ff78e7-5607-48d6-9c1a-bddb075dbe70,
0779m,Alpha Diallo,alpha diallo,DEN,G,5270,63602a58-4889-4625-bceb-faa6eca74db1,
04exn,Alpha Kaba,alpha kaba,ATL,PF,4139,,5873
06cdb,Amari Bailey,amari bailey,,PG,,615f8557-022f-46ef-9803-3c221ceb1c09,
06v8c,Amari Williams,amari williams,BOS,PF,6606,258ed390-1d72-42ee-9c52-f7064051e35f,
06ca8,Amen Thompson,amen thompson,HOU,SF,5931,b8b323c1-5691-43a4-9c48-707531803d6a,
04lbx,Amida Brimah,amida brimah,,C,4279,d35e6cac-3a3e-477a-9efb-dbc282b56c5e,5932
04l1w,Amile Jefferson,amile jefferson,,PF,4232,ef9581fc-49eb-4dc2-b158-6cf3a7a09d46,5920
06667,Aminu Mohammed,aminu mohammed,,G,5747,bf5246b5-714f-4a4c-8d3f-c4f5891b6fb6,
059g0,Amir Coffey,amir coffey,,SG,4836,b9d4ce1b-94dc-4bec-8d62-70a86d9c523e,6315
059ck,Amir Hinton,amir hinton,,PG,4757,,6300
073y0,Andersson Garcia,andersson garcia,,PF,6886,8a9338c7-20e9-45ec-9e9d-41c7de98591e,
