,"Tip: If you're on mobile, scroll right to see our individual & AVG ranks!","Top 300 9-Cat Dynasty Rankings 
Feb 2026 ",,,,,,
,,,,,,,,
Rank ,Movement,Player,Age,Movement,Andrew,Braxton ,Mitchell,Average Rank
1,-,"Victor Wembanyama (SA - F,C)",22.3,,1,1,1,1.0
2,-,Shai Gilgeous-Alexander (OKC - G),27.8,,2,3,2,2.3
3,-,Nikola Jokic (DEN - C),31.2,,3,2,4,3.0
4,-,Luka Doncic (LAL - G),27.1,,4,4,3,3.7
5,-,Cade Cunningham (DET - G),24.6,,5,6,5,5.3
6,-,Cooper Flagg (DAL - F),19.3,,6,7,6,6.3
7,⇧1,"Anthony Edwards (MIN - G,F)",24.7,,8,5,8,7.0
8,⇩1,Tyrese Maxey (PHI - G),25.5,,7,8,7,7.3
9,⇧2,Jalen Johnson (ATL - F),24.3,,11,10,9,10.0
10,⇧2,Scottie Barnes (TOR - F),24.7,,9,9,13,10.3
11,⇩2,Alperen Sengun (HOU - C),23.7,,10,14,12,12.0
12,⇩2,"Giannis Antetokounmpo (MIL - F,C)",31.4,,14,12,14,13.3
13,⇧3,Chet Holmgren (OKC - F),24.0,,15,18,10,14.3
14,⇧1,Amen Thompson (HOU - F),23.2,,12,24,11,15.7
15,⇩1,Trae Young (WAS - G),27.6,,21,13,19,17.7
16,⇧1,Devin Booker (PHO - G),29.5,,22,11,21,18.0
17,⇧1,Donovan Mitchell (CLE - G),29.6,,13,20,22,18.3
18,⇩5,"Jalen Williams (OKC - G,F)",25.0,,20,19,16,18.3
19,⇧2,Jayson Tatum (BOS - F),28.1,,23,21,15,19.7
20,⇧2,LaMelo Ball (CHA - G),24.7,,18,17,25,20.0
21,⇧3,Tyrese Haliburton (IND - G),26.1,,24,22,18,21.3
22,⇩2,"Evan Mobley (CLE - F,C)",24.8,,16,29,20,21.7
23,-,Jalen Brunson (NY - G),29.6,,25,15,28,22.7
24,⇧1,Jamal Murray (DEN - G),29.2,,17,31,23,23.7
25,⇩6,"Karl-Anthony Towns (NY - F,C)",30.4,,19,28,24,23.7
26,⇧1,Alex Sarr (WAS - F),21.0,,30,27,17,24.7
27,⇩1,"Josh Giddey (CHI - G,F)",23.5,,29,16,33,26.0
28,⇧3,Deni Avdija (POR - F),25.3,,26,23,32,27.0
29,⇧1,"Franz Wagner (ORL - G,F)",24.6,,28,30,26,28.0
30,⇩2,Austin Reaves (LAL - G),27.9,,33,26,29,29.3
31,⇧2,Trey Murphy (NO - F),25.8,,27,34,30,30.3
32,⇩3,Dylan Harper (SA - G),20.1,,31,41,27,33.0
33,⇧2,"Jaylen Brown (BOS - G,F)",29.5,,32,25,42,33.0
34,-,Jalen Duren (DET - C),22.4,,34,35,31,33.3
35,⇩3,"Domantas Sabonis (SAC - F,C)",30.0,,35,36,38,36.3
36,⇧9,"Kon Knueppel (CHA - G,F)",20.7,,42,32,39,37.7
37,⇧1,Paolo Banchero (ORL - F),23.4,,40,40,34,38.0
38,⇧1,De'Aaron Fox (SA - G),28.3,,38,44,36,39.3
39,⇩3,"Anthony Davis (WAS - F,C)",33.1,,36,38,46,40.0
40,⇩3,Bam Adebayo (MIA - C),28.8,,39,42,40,40.3
41,⇧5,VJ Edgecombe (PHI - G),20.7,,37,48,37,40.7
42,⇩2,"Jaren Jackson (UTA - F,C)",26.6,,41,47,35,41.0
43,⇧8,Brandon Miller (CHA - F),23.4,,47,37,45,43.0
44,⇩3,Desmond Bane (ORL - G),27.8,,46,43,43,44.0
45,⇩2,Tyler Herro (MIA - G),26.2,,43,49,44,45.3
46,⇩4,James Harden (CLE - G),36.6,,54,33,56,47.7
47,⇧16,Keyonte George (UTA - G),22.4,,50,46,47,47.7
48,-,Dyson Daniels (ATL - G),23.1,,49,45,52,48.7
49,⇩2,Darius Garland (LAC - G),26.2,,55,51,41,49.0
50,⇧2,Lauri Markkanen (UTA - F),28.9,,51,50,49,50.0
51,⇩2,Stephen Curry (GS - G),38.1,,59,39,54,50.7
52,⇩8,Jalen Suggs (ORL - G),24.9,,44,61,50,51.7
53,⇧6,Derrick White (BOS - G),31.8,,53,57,59,56.3
54,⇧10,Michael Porter (BKN - F),27.8,,48,53,72,57.7
55,⇧6,Derik Queen (NO - C),21.3,,62,52,63,59.0
56,-,Pascal Siakam (IND - F),32.0,,63,58,57,59.3
57,⇩2,"Mikal Bridges (NY - G,F)",29.6,,45,75,61,60.3
58,-,Kevin Durant (HOU - F),37.6,,60,64,58,60.7
59,⇧7,Zach Edey (MEM - C),23.9,,56,66,62,61.3
60,⇩3,Stephon Castle (SA - G),21.5,,58,72,60,63.3
61,⇩11,Ausar Thompson (DET - F),23.2,,52,93,48,64.3
62,⇧11,Onyeka Okongwu (ATL - C),25.4,,57,84,55,65.3
63,⇧2,Myles Turner (MIL - C),30.1,,66,78,53,65.7
64,⇧3,"Brandon Ingram (TOR - G,F)",28.6,,68,65,65,66.0
65,⇩5,Ja Morant (MEM - G),26.7,,75,59,67,67.0
