,,,,,,,,,
,#,Player,Position,Team,DOB,Age (4/5/26),Previous Rank, +/- Change,Notes/Outlook
,1,Victor Wembanyama,PF/C,SAS,1/4/2004,22.3,1,0,God Emperor Wemby is currently the MVP frontrunner. The league (and your leaguemates) should be terrified he's already this good. 
,2,Shai Gilgeous-Alexander,PG/SG,OKC,7/12/1998,27.8,2,0,More of the same from SGA as the reigning MVP. We know what to expect out of an elite performer and a unanimous top 2-3 dynasty pick in all formats.
,3,Luka Doncic,PG/SG,LAL,2/28/1999,27.1,4,1,"Luka continued to show why he's an absolute superstar with the Lakers. As expected, a lot of sparks this year as he leads the Lakers above where I expected their roster."
,4,Nikola Jokic,C,DEN,2/19/1995,31.2,3,-1,Jokic is still dominating at a high level. He's 30 now but his game will age like fine wine. Averaging anything close to a triple double is par for the course at this point.
,5,Cooper Flagg,SF/PF,DAL,12/21/2006,19.3,5,0,Flagg has looked as advertised despite some normal rookie struggles and he'll keep getting better quickly. Expect him to remain a consensus T10 player.
,6,Cade Cunningham,PG/SG,DET,9/25/2001,24.6,6,0,Cade has officially ascended last year. Hope you bought in when he was closer to 15-20 than 5. He has a winning team around him and actively makes his guys better.
,7,Tyrese Maxey,PG/SG,PHI,11/4/2000,25.5,7,0,Maxey has been fantastic to start the year. I had doubts about him being a winning first option guy but he's truly there right now.
,8,Anthony Edwards,SG/SF,MIN,8/5/2001,24.7,8,0,Ant takes yet another step up this year with KAT's departure. He's gotten better and better every year. Crazy he's doing this and won't be 24 until this summer.
,9,Jalen Johnson,SF/PF,ATL,12/18/2001,24.3,9,0,I can't deny Jalen Johnson any longer. He's emerged into a full-blown fantasy and IRL star this year.
,10,Jayson Tatum,SF/PF,BOS,3/3/1998,28.1,16,6,"I might be getting ahead of myself as Tatum is still working back to 100%, but I'm feeling good about him coming back to his full top 10-worthy self next season. "
,11,Tyrese Haliburton,PG/SG,IND,2/29/2000,26.1,15,4,"I'm fully expecting to push Haliburton up into the top 10 this next season, just as I am with Tatum. We've yet to see him yet but we know the ceiling and value when healthy."
,12,1.01 / Cameron Boozer,PF/C,Duke,7/18/2007,18.8,18,6,Cam Boozer looks the part of an elite-level fantasy basketball player with how he stuffs the stat sheets. He's leaped Peterson as my 1.01 within the same tier as 1.02.
,13,Alperen Sengun,C,HOU,7/25/2002,23.7,11,-2,"Sengun has taken another step. If he can keep on hitting 3s, this is going to do amazing things for his value. I slightly underestimated how him, Amen and KD mesh."
,14,Chet Holmgren,PF/C,OKC,5/1/2002,24.0,12,-2,Chet continues to be awesome for fantasy purposes and is having another fantastic year.
,15,Evan Mobley,PF/C,CLE,6/18/2001,24.8,13,-2,"I think it's fair to say Mobley has been underwhelming to start this season. I think he'll level out well and finish as an All-Star/All-NBA player, but he's very far from an MVP."
,16,Scottie Barnes,SF/PF,TOR,8/1/2001,24.7,20,4,Barnes has continued to step it up in the fantasy game this year. He's been very efficient and converting well on 3s again.
,17,Jalen Williams,SG/SF/PF,OKC,4/14/2001,25.0,18,1,JDub has started out slow following his return from wrist surgery. I expect he'll climb back up my ranks in time. He remains a top end asset for me.
,18,1.02 / Darryn Peterson,PG/SG,Kansas,1/17/2007,19.2,19,1,"Peterson was my 1.01 for a bit, but that has since changed with Boozer's commanding lead. Still hopeful he can level up into an elite fantasy player."
,19,Giannis Antetokounmpo,PF/C,MIL,12/6/1994,31.4,17,-2,"There are sure to be questions about Giannis if he gets traded, but in most situations, he will remain a top-end fantasy contributor well through the end of his prime."
,20,Amen Thompson,PG/SG/SF,HOU,1/30/2003,23.2,14,-6,"Frankly, I've been a little disappointed by Amen Thompson relative to the expectations coming in. Still an elite player and asset to hold onto, though."
,21,Franz Wagner,SG/SF/PF,ORL,8/27/2001,24.6,21,0,The entire Magic squad has struggled this year. I think they may be best suited with Wagner as their 1A.
,22,Austin Reaves,PG/SG,LAL,5/29/1998,27.9,24,2,"Surprisingly, Reaves has been excellent with Luka and is such a clear impactul and winning player. What a find by the Lakers."
,23,Donovan Mitchell,PG/SG,CLE,9/7/1996,29.6,23,0,Mitchell has been having a fantastic start to his season with Cleveland. Is there a chance they trade Garland at some point fairly soon?
,24,1.03 / AJ Dybantsa,SG/SF,BYU,1/29/2007,19.2,28,4,A lot of people are starting to bug out about Dybantsa. I'm not worried. The talent is elite and he will be a star.
,25,Deni Avdija,SF/PF,POR,1/3/2001,25.3,29,4,Avdija is stamped as legit and he's Portland's best player moving forward. This year will be his first All-Star appearance.
,26,Dylan Harper,PG/SG,SAS,3/2/2006,20.1,27,1,"Harper has been fantastic starting out. I think it's clear by now that he, Fox and Castle can coexist even if usage gets a little hairy."
,27,Darius Garland,PG/SG,LAC,1/26/2000,26.2,37,10,"Since being traded to the Clippers, Garland is starting to return to being the All-Star we've seen when healthy. Very excited about him leading LAC moving forward."
,28,Trae Young,PG/SG,WAS,9/19/1998,27.6,22,-6,"I'm not sure what to think about Trae Young's dynasty value just yet in WAS. For now, he'll stay in the same range."
,29,Devin Booker,SG/SF,PHO,10/30/1996,29.5,25,-4,Booker hasn't had the best year so far relative to his ADP and value. He may start to drop further as he's coming up on 30 stuck in the same situation in Phoenix.
,30,LaMelo Ball,PG/SG,CHA,8/22/2001,24.7,30,0,"Ball's health remains a question, and now with Kon Knueppel on the rise, it's clear that he could be on his way out as the franchise player."
,31,Josh Giddey,PG/SG/SF,CHI,10/10/2002,23.5,31,0,"I'm still not the biggest fan of the Giddler, but I can't deny that he's been great for fantasy and this all feels sustainable. "
,32,Jalen Brunson,PG/SG,NYK,8/31/1996,29.6,26,-6,Brunson has seen some marginal changes with more pieces coming in. All to be expected and he's still in his absolute prime.
,33,Kon Knueppel,SG/SF,CHA,8/3/2005,20.7,43,10,"Just as we predicted, Kon has been an important piece for Charlotte and has shown a way stronger fantasy profile than others thought."
,34,Jalen Duren,C,DET,11/18/2003,22.4,36,2,Duren impressed me in the playoffs after being down on him for a bit now. I think we've pretty much averted timeshares and Detroit trading for another guy by now.
,35,Trey Murphy III,SG/SF/PF,NOP,6/18/2000,25.8,35,0,"After some initial struggles, Muprhy has rebounded and continues to play at a very high level."
