,"Tip: If you're on mobile, scroll right to see our individual & AVG ranks!","Top 300 9-Cat Dynasty Rankings 
July 2026 ",,,,,,
,,,,,,,,
Rank ,Movement,Player,Age,Movement,Andrew,Braxton ,Mitchell,Average Rank
1,-,"Victor Wembanyama (SA - F,C)",22.6,,1,1,1,1.0
2,-,Shai Gilgeous-Alexander (OKC - G),28.0,,2,3,2,2.3
3,-,Nikola Jokic (DEN - C),31.4,,3,2,5,3.3
4,-,Luka Doncic (LAL - G),27.4,,4,4,4,4.0
5,⇧1,Cooper Flagg (DAL - F),19.6,,5,6,3,4.7
6,⇩1,Cade Cunningham (DET - G),24.8,,6,5,6,5.7
7,-,"Anthony Edwards (MIN - G,F)",25.0,,8,9,7,8.0
8,-,Tyrese Maxey (PHI - G),25.7,,7,10,8,8.3
9,-,Jayson Tatum (BOS - F),28.4,,10,7,10,9.0
10,-,Scottie Barnes (TOR - F),25.0,,9,8,12,9.7
11,-,Jalen Johnson (ATL - F),24.6,,11,11,9,10.3
12,NEW,Cameron Boozer (MEM - F),19.0,,14,14,11,13.0
13,⇧1,"Giannis Antetokounmpo (MIA - F,C)",31.6,,16,13,17,15.3
14,⇩1,Alperen Sengun (HOU - C),24.0,,13,19,15,15.7
15,⇧1,Tyrese Haliburton (IND - G),26.4,,19,12,16,15.7
16,⇩1,Amen Thompson (HOU - F),23.5,,12,26,13,17.0
17,⇩5,Chet Holmgren (OKC - F),24.2,,15,22,14,17.0
18,⇩1,Donovan Mitchell (CLE - G),29.9,,17,24,23,21.3
19,⇩1,Trae Young (WAS - G),27.8,,28,20,18,22.0
20,-,LaMelo Ball (MIN - G),24.9,,22,17,29,22.7
21,-,"Evan Mobley (CLE - F,C)",25.1,,20,30,19,23.0
22,⇩3,Devin Booker (PHO - G),29.7,,25,18,28,23.7
23,⇩1,Jamal Murray (DEN - G),29.4,,18,31,22,23.7
24,⇧10,Dylan Harper (SA - G),20.4,,24,34,21,26.3
25,⇧1,Jalen Brunson (NY - G),29.9,,33,16,30,26.3
26,⇩2,Deni Avdija (POR - F),25.6,,23,21,36,26.7
27,NEW,"AJ Dybantsa (WAS - G,F) ",19.5,,26,35,20,27.0
28,⇩5,"Jalen Williams (OKC - G,F)",25.3,,34,23,24,27.0
29,⇩2,"Karl-Anthony Towns (NY - F,C)",30.7,,21,38,27,28.7
30,⇩2,Austin Reaves (LAL - G),28.2,,31,27,31,29.7
31,⇩2,Trey Murphy (NO - F),26.1,,27,28,34,29.7
32,NEW,Darryn Peterson (UTA - G) ,19.5,,29,36,25,30.0
33,⇩8,Alex Sarr (WAS - F),21.2,,38,32,26,32.0
34,⇩2,"Josh Giddey (CHI - G,F)",23.8,,37,15,45,32.3
35,⇧1,"Kon Knueppel (CHA - G,F)",21.0,,35,25,40,33.3
36,⇩5,Jalen Duren (DET - C),22.7,,30,40,33,34.3
37,⇩7,"Franz Wagner (ORL - G,F)",24.9,,39,33,32,34.7
38,⇧3,Brandon Miller (CHA - F),23.7,,40,29,37,35.3
39,⇩1,Paolo Banchero (ORL - F),23.7,,42,37,38,39.0
40,⇩7,"Jaylen Brown (PHI - G,F)",29.7,,32,45,46,41.0
41,⇩4,Bam Adebayo (MIA - C),29.0,,41,41,42,41.3
42,⇩3,"Domantas Sabonis (SAC - F,C)",30.2,,43,42,41,42.0
43,⇩3,"Jaren Jackson (UTA - F,C)",26.9,,45,43,39,42.3
44,⇩1,Desmond Bane (ORL - G),28.1,,47,44,44,45.0
45,NEW,Caleb Wilson (CHI - F) ,20.0,,44,46,48,46.0
46,⇩11,VJ Edgecombe (PHI - G),21.0,,36,69,35,46.7
47,⇩2,Keyonte George (UTA - G),22.7,,46,50,50,48.7
48,⇩6,"Anthony Davis (WAS - F,C)",33.4,,51,39,59,49.7
49,⇩1,Dyson Daniels (ATL - G),23.4,,48,49,58,51.7
50,⇩1,Lauri Markkanen (UTA - F),29.2,,52,52,52,52.0
51,⇩4,Darius Garland (LAC - G),26.5,,60,55,43,52.7
52,⇩6,Tyler Herro (MIL - G),26.5,,59,51,49,53.0
53,⇩3,Jalen Suggs (ORL - G),25.1,,53,57,54,54.7
54,⇧18,Walker Kessler (LAL - C),25.0,,49,63,53,55.0
55,NEW,Darius Acuff (SAC - G) ,19.7,,55,61,51,55.7
56,⇩4,Derrick White (BOS - G),32.1,,64,47,60,57.0
57,⇩4,Donovan Clingan (POR - C),22.4,,50,67,55,57.3
58,⇩14,De'Aaron Fox (SA - G),28.6,,65,48,63,58.7
59,⇩2,Stephon Castle (SA - G),21.7,,56,75,47,59.3
60,⇩4,Joel Embiid (PHI - C),32.4,,57,62,61,60.0
61,⇩1,Matas Buzelis (CHI - F),21.8,,58,73,62,64.3
62,⇩7,Michael Porter (BKN - F),28.1,,61,56,76,64.3
63,⇩9,Stephen Curry (GS - G),38.4,,72,54,77,67.7
64,⇩6,Pascal Siakam (IND - F),32.3,,77,59,71,69.0
