Rank,Player,Position,Team,DOB,Age,Previous Rank,+/- Change,Notes/Outlook
1,Victor Wembanyama,PF/C,SAS,2004-01-04,22.5,1.0,0,It's only Year 3 of Wemby and he's already reached the Finals and was an MVP finalist. Unreal talent and the obvious 1.01 for a long time to come.
2,Shai Gilgeous-Alexander,PG/SG,OKC,1998-07-12,28.0,2.0,0,More of the same from SGA as the two-time MVP. We know what to expect out of an elite performer and a unanimous top 2-3 dynasty pick in all formats.
3,Luka Doncic,PG/SG,LAL,1999-02-28,27.4,3.0,0,Luka has continued to dominate in the fantasy department. He's beginning to enter his prime with LeBron out the door.
4,Nikola Jokic,C,DEN,1995-02-19,31.4,4.0,0,Jokic is still dominating at a high level. He's 31 now but his game will age like fine wine. Averaging anything close to a triple double is par for the course at this point.
5,Cooper Flagg,SF/PF,DAL,2006-12-21,19.6,5.0,0,Flagg has looked as advertised despite some normal rookie struggles and he'll keep getting better quickly. Expect him to remain a consensus top 5-10 player.
6,Cade Cunningham,PG/SG,DET,2001-09-25,24.8,6.0,0,Cade Cunningham was awesome this past year and stayed firmly in the mix in the MVP race. Arguably the best guard in the East.
7,Jayson Tatum,SF/PF,BOS,1998-03-03,28.4,10.0,3,Tatum should be back to 100% coming into this season. Expect massive numbers with Jaylen Brown gone.
8,Anthony Edwards,SG/SF,MIN,2001-08-05,24.9,8.0,0,Ant gets himself a co-star with LaMelo Ball to run things with. Expect more of the same moving forward. 
9,Tyrese Maxey,PG/SG,PHI,2000-11-04,25.7,7.0,-2,"Maxey has been stepping up as an elite fantasy player, but with the addition of Jaylen Brown and pending Joel Embiid's health, this will eat into his touches a bit."
10,Jalen Johnson,SF/PF,ATL,2001-12-18,24.6,9.0,-1,Jalen Johnson came into his own this year as a fantasy performer. He remains the main man for Atlanta.
11,Tyrese Haliburton,PG/SG,IND,2000-02-29,26.4,11.0,0,"I'm fully expecting to push Haliburton back into the top 10 this next season, just as I have with Tatum. We'll see when he's healthy. We know the ceiling when he's rolling."
12,1.01 / Cameron Boozer,PF/C,MEM,2007-07-18,19.0,12.0,0,Don't overthink this one. Boozer is a blue chip talent and a clear top 10-15 dynasty asset from Day 1.
13,Scottie Barnes,SF/PF,TOR,2001-08-01,25.0,16.0,3,"Scottie Barnes has been fantastic for Toronto this year and continues posting a steady, well-rounded fantasy game. Him and Kawhi should mesh real well."
14,Alperen Sengun,C,HOU,2002-07-25,24.0,13.0,-1,"Sengun was pretty disappointing in the playoffs. Lots of upside here, especially in the fantasy department. His value feels a bit fluid moving forward."
15,1.02 / Darryn Peterson,PG/SG,UTA,2007-01-17,19.5,18.0,3,"Peterson goes where we expected in Utah, where he will commend a clear starting role from Day 1. Will the playmaking return to his HS levels?"
16,Chet Holmgren,PF/C,OKC,2002-05-01,24.2,14.0,-2,Chet has taken plenty of heat after the Thunder's WCF loss. I'm still expecting him to be a perennial All-Defense guy for a long time if he stays healthy.
17,Giannis Antetokounmpo,PF/C,MIL -> MIA,1994-12-06,31.6,19.0,2,Very little change here for Giannis as he heads over to the 305. He remains the clearcut best player for Miami and will continue delivering elite numbers.
18,1.03 / AJ Dybantsa,SG/SF,WAS,2007-01-29,19.5,24.0,6,"For some, Dybantsa will be their 1.01. He's a real star talent, but there are questions needing answered in the fantasy department."
19,Evan Mobley,PF/C,CLE,2001-06-18,25.1,15.0,-4,I still believe in Evan Mobley and have hope for more here. This is a crucial year to show it if LeBron comes home for one last hurrah.
20,Dylan Harper,PG/SG,SAS,2006-03-02,20.4,26.0,6,Harper has already been flashing plenty of star potential so far. He and Castle are the future alongside Wemby. He may need a little longer to be fully unleashed.
21,Amen Thompson,PG/SG/SF,HOU,2003-01-30,23.5,20.0,-1,"Frankly, I've been a little disappointed by Amen Thompson relative to the expectations coming in. Still an elite player and asset to hold onto, though."
22,Jalen Williams,SG/SF/PF,OKC,2001-04-14,25.2,17.0,-5,"JDub underwhelmed this year compared to last year's big jump, only playing 33 games and never looking 100%. I'm buying if he's valued for less than top 25 prices."
23,Austin Reaves,PG/SG,LAL,1998-05-29,28.1,22.0,-1,"Unsurprisingly, Austin Reaves stays put in LA with a big contract in hand. Expect him to continue crushing and staying high in my ranks through his prime. "
24,Franz Wagner,SG/SF/PF,ORL,2001-08-27,24.9,21.0,-3,"More of the same from Franz Wagner, a continually good player with some team fit concerns and how him and Paolo mesh. "
25,Donovan Mitchell,PG/SG,CLE,1996-09-07,29.8,23.0,-2,"An ECF sweep will prompt normal doom and gloom, but Spida is approaching 30 and there are questions if he's on the decline soon. He got a massive payday from CLE."
26,Josh Giddey,PG/SG/SF,CHI,2002-10-10,23.8,31.0,5,"I'm still not the biggest fan of the Giddler, but I can't deny that he's been great for fantasy and this all feels sustainable. "
27,Kon Knueppel,SG/SF,CHA,2005-08-03,20.9,33.0,6,Kon is the big benefactor of LaMelo Ball's departure. Expect the numbers to go up and the on-ball reps to send him to the moon.
28,1.04 / Caleb Wilson,SF/PF,CHI,2006-07-18,20.0,37.0,9,Caleb Wilson is my current 1.04 and has a lot of juice to his fantasy game. Will need time to develop more on offense but has a ton of potential here in CHI.
29,Deni Avdija,SF/PF,POR,2001-01-03,25.5,25.0,-4,"Deni and Portland are in a weird spot right now with the addition of Ja Morant, but I imagine Deni will remain in about the same spot."
30,Darius Garland,PG/SG,LAC,2000-01-26,26.5,27.0,-3,"Since being traded to the Clippers, Garland is starting to return to being the All-Star we've seen when healthy. Very excited about him leading LAC moving forward."
31,Jamal Murray,PG/SG,DEN,1997-02-23,29.4,36.0,5,Murray was great this past year as Denver's healthiest player on the roster. Expecting another strong year from him with DEN not likely to make many moves.
32,LaMelo Ball,PG/SG,CHA -> MIN,2001-08-22,24.9,30.0,-2,LaMelo joins Anthony Edwards in Minnesota to form one of the most fiery backcourts in the NBA. Don't think this changes a ton for LaMelo.
33,Jalen Brunson,PG/SG,NYK,1996-08-31,29.9,32.0,-1,Congratulations to Jalen Brunson and the New York Knicks. He's still well within his prime but we will continue to monitor things as he turns 30 this next season.
34,Jalen Duren,C,DET,2003-11-18,22.7,34.0,0,Jalen Duren is currently looking at sign-and-trade scenarios out of Detroit. I don't see any big jumps in his value. Staying the same or dropping a little are my best guesses.
35,Devin Booker,SG/SF,PHO,1996-10-30,29.7,29.0,-6,"We know what to expect with Booker, but he's almost 30 and remains in the same Suns situation. Is a drop coming soon?"
36,Trey Murphy III,SG/SF/PF,NOP,2000-06-18,26.1,35.0,-1,"Murphy is on the trade block with a lot of suitors. I'd imagine most landing spots will keep his value fairly insulated, but I'm guessing he stays put in NOLA."
37,Karl-Anthony Towns,PF/C,NYK,1995-11-15,30.7,43.0,6,"KAT was a crucial piece for the Knicks in winning a championship. After a lot of questions about trades, he feels secure on this roster moving forward."
38,Paolo Banchero,SF/PF,ORL,2002-11-12,23.7,38.0,0,Paolo has still yet to flash a more fantasy-friendly game for categories. This is a crucial year for him and Orlando to make a splash.
39,Jaren Jackson Jr.,PF/C,UTA,1999-09-15,26.8,41.0,2,JJJ got traded to Utah in a deal that feels like it happened forever ago. He will be a core starter in a MASSIVE starting 5.
40,Jaylen Brown,SG/SF,BOS -> PHI,1996-10-24,29.7,42.0,2,This Jaylen Brown trade is going to shake up both Boston and Philly. What will his role look like as the potential third guy behind Maxey and Embiid?
41,Trae Young,PG/SG,WAS,1998-09-19,27.8,28.0,-13,"Trae Young can likely maintain fantasy value on some level, but I'm a bit concerned about the short-term splits for this Wizards squad with Dybantsa and AD."
42,Bam Adebayo,PF/C,MIA,1997-07-18,29.0,44.0,2,Bam sticks around in Miami and will be their second best player next to Giannis. They'll have a lot on their shoulders this year pending more FA moves.
43,VJ Edgecombe,PG/SG,PHI,2005-07-30,21.0,45.0,2,"One big short-term loser of the Jaylen Brown trade: their young phenom VJ Edgecombe. Still in on him long-term, though."
44,Stephon Castle,PG/SG/SF,SAS,2004-11-01,21.7,58.0,14,Castle has continued to make strong progress in his second year with San Antonio. What does the ceiling look like with Dylan Harper and De'Aaron Fox in the mix?
45,Brandon Miller,SF/PF,CHA,2002-11-22,23.6,56.0,11,"Kon and Miller got handed the keys with LaMelo's departure. I've always been a bit skeptical of Miller, but this is his chance to show he can reach stardm."
46,Donovan Clingan,C,POR,2004-02-23,22.4,40.0,-6,"Despite some playoff struggles, Clingan had an amazing year and has taken a big leap developmentally. How much further can he go?"
47,Alex Sarr,PF/C,WAS,2005-04-26,21.2,39.0,-8,"Sarr's outlook is not looking as good as it was early in the season with AD, Trae Young and the 1st overall pick coming in."
48,Lauri Markkanen,SF/PF,UTA,1997-05-22,29.1,48.0,0,"I'm not terribly worried about Lauri moving forward, either leaving via trade or with JJJ and Kessler in the frontcourt. Dude's just a good player."
49,Zach Edey,C,MEM,2002-05-14,24.2,55.0,6,"Edey is a dominant fantasy player when healthy, but his health has been a concern so far. Monitoring this, but comfortable with him in the top 50."
50,Desmond Bane,SG/SF,ORL,1998-06-25,28.1,47.0,-3,Bane has remained at a high level even in Orlando. He's been their mainstay all year with plenty of injuries up and down the roster.
51,Keyonte George,PG/SG,UTA,2003-11-08,22.7,61.0,10,George has established he belongs as a longer term starter. in Utah. What does Darryn Peterson incoming mean for him?
52,1.05 / Keaton Wagler,PG/SG,LAC,2007-02-03,19.4,50.0,-2,"Wagler was incredible for Illinois. He has some concern areas and needs to put on more weight, but the higher-level outcomes in LAC are very exciting."
53,Onyeka Okongwu,PF/C,ATL,2000-12-11,25.6,62.0,9,Okongwu continues to grow his game further as he expands his game from 3. Currently 37.9% from deep on 5.2 attempts. 
54,Walker Kessler,C,UTA -> LAL,2001-07-26,25.0,68.0,14,"Walker Kessler lands in a very favorable situation in Los Angeles as the clearcut starter. Him, Luka and Reaves will make for a fun trio."
